full_name,mobile_number,email,date_of_birth,address,sex,property_no,street_1,street_2,property_type_name,property_sub_type_name,ward_no,pincode
Bhanumati Murthy,2442712979,dhriti37@example.net,1986-04-08,"22, Varty Nagar, Thiruvananthapuram 981651",male,43338,Om Road,Sandhu,industrial,,38,571508
Shivani Nigam,5638184360,gadeishaan@example.com,1918-10-25,"98, Sood Road, Gurgaon-660644",female,85869,Ganesan Zila,Mukherjee Circle,residential,rent house,18,819049
Gagan Sodhi,2409307250,aarna69@example.com,1999-02-18,"H.No. 17, Raval Zila, Gaya 294163",male,83926,Doctor Zila,Suresh Path,commercial,restaurant,6,493654
Tanvi Cherian,0664148432,tripathiforum@example.org,1917-09-09,"H.No. 04, Chowdhury Chowk, Patiala-163248",female,42102,Lal Path,Lalla Circle,residential,rent house,20,039283
Dakshesh Manne,7082882432,sbhatnagar@example.com,1950-10-31,"H.No. 680, Krish Path, Madurai-792791",male,22095,Pau Zila,Kakar Street,residential,rent house,2,235366
Bhavini Saha,7504029089,basujai@example.org,1949-07-17,"03/983, Choudhury Path, Naihati-722561",female,91967,Wagle Road,Tara Path,industrial,,11,089613
Yashasvi Chopra,4398019156,eesha23@example.net,1951-12-25,"25/58, Chada Path, Allahabad 008837",female,12014,Wadhwa Path,Kale Zila,industrial,,22,595191
Zehaan Wali,7026839071,benoviya@example.org,1945-09-05,"H.No. 645, Bal Path, Jehanabad 387199",female,22397,Reddy Zila,Suri Path,industrial,,11,723005
Lakshit Chhabra,1962905967,quincy84@example.com,2019-07-24,"14, Lanka Chowk, Bongaigaon 229291",male,89386,Gulati Street,Sidhu Marg,residential,rent house,29,120107
Ishita Srinivasan,8264551602,dbains@example.net,1986-03-24,"053, Date Circle, Asansol 927740",female,33319,Basu Chowk,Nagarajan Marg,residential,rent house,22,232401
Vihaan Bhatia,9446679237,prabhuharish@example.org,1980-05-28,"810, Kant Nagar, Gangtok 910496",male,32961,Chaudhuri Path,Golla,industrial,,31,161357
Frado Lall,6241835595,jagatshankar@example.com,2016-10-23,"75/940, Handa Chowk, Unnao-397511",female,20084,Oommen Path,Chanda Zila,industrial,,13,845135
Ijaya Choudhury,6464795794,dayalaadhya@example.org,2017-04-07,"05/60, Bhat Ganj, Srinagar 252047",female,55819,Mahal Path,Khosla,industrial,,36,666926
Raagini Swamy,3636719358,urishilla11@example.com,2007-10-22,"68/86, Patil Street, Ballia 540958",female,68018,Chacko Zila,Pandit,industrial,,4,591043
Ayush Mannan,5226228292,fbatra@example.com,2018-08-24,"11/967, Natt Circle, Shimoga-367371",female,52108,Sha Marg,Kar Street,industrial,,21,400998
Krishna Om,9024713557,tristandixit@example.org,1918-07-28,"71/581, Deep Ganj, Pali 854770",female,99792,Basu Nagar,Mital Marg,commercial,restaurant,43,405689
Wakeeta Palla,3802856404,simonkonda@example.net,1930-11-03,"H.No. 72, Narayan Nagar, Rampur-607866",male,95023,Bhat Nagar,Mahajan Marg,industrial,,12,482623
Wridesh Char,6641885697,widishabandi@example.net,1914-09-16,"47/855, Nanda Circle, Guntur 402774",female,13309,Parikh Street,Chad,commercial,restaurant,4,675605
Chaaya Sidhu,7163466168,warjasshetty@example.net,1954-08-28,"H.No. 670, Sundaram, Anantapur-337360",female,63831,Halder Marg,Hayre Chowk,industrial,,10,040770
Nachiket Sampath,2993081898,yahvi64@example.com,2016-03-07,"36/90, Gola Circle, Rewa 668525",female,98810,Nagy Chowk,Shroff Zila,commercial,wedding hall,3,158234
Kevin Malhotra,5611930384,eagate@example.net,1927-11-14,"628, Pandya Chowk, Chittoor-068736",female,77284,Sem Street,Rastogi Marg,residential,rent house,34,533192
Samuel Patil,5102900967,liamminhas@example.org,1952-06-05,"64/638, Shere Chowk, Gwalior 571893",female,42273,Sodhi Marg,Rajagopal Ganj,commercial,hotel,39,352113
Sachi Gill,9617992485,faqid91@example.com,1971-12-25,"05/61, Vasa Road, Bareilly-824368",male,79037,Kade Marg,Amble Street,commercial,wedding hall,21,280110
Baljiwan Sathe,7774623260,annewridesh@example.com,1929-10-19,"H.No. 862, Raghavan Path, Ujjain-602001",male,15288,Sathe Zila,Dewan Path,industrial,,23,008426
Hiral Gulati,2188870570,adityadoctor@example.net,1985-05-20,"H.No. 071, Bajwa Path, Silchar 375197",female,12647,Patil Zila,Joshi Chowk,industrial,,14,422310
Omkaar Sekhon,6298770856,gandhiekbal@example.com,1910-01-31,"95/647, Kade Road, Aizawl-536292",male,32838,Madan Chowk,Deshmukh Marg,industrial,,20,902641
Lohit Madan,8095145551,aarush99@example.net,1914-06-04,"70/92, Subramanian Path, Junagadh-749364",female,53901,Deol Ganj,Mahal Chowk,commercial,restaurant,40,848318
Ishita Thaker,6744409249,chaudhryekantika@example.net,1996-02-21,"H.No. 44, Dhar Nagar, Mehsana 242595",female,42750,Ramanathan Marg,Dhawan Path,industrial,,14,921229
Abhiram Gill,9773081332,narangomkaar@example.net,1955-12-20,"11/871, Grewal Nagar, Rampur-453606",male,93685,Kumar Nagar,Chaudhary Ganj,residential,rent house,40,234396
Abdul Krishnamurthy,6122450765,benjamin93@example.net,1975-08-07,"10/60, Mahal Path, Jhansi-445345",female,96881,Jayaraman,Dhaliwal Chowk,commercial,school,36,125327
Bhavya Brar,4464691310,rehaanmuni@example.com,1972-06-13,"62/55, Bhattacharyya Zila, Khammam 883979",male,36751,Bajaj Nagar,Kala Path,residential,rent house,37,638667
Jeremiah Chander,4609971982,krishnawagle@example.org,1990-04-21,"47, Bala Zila, Gandhidham 306846",male,75562,Korpal,Ram Zila,residential,house,23,082800
Zarna Dubey,3763422048,chaudryvanya@example.com,1937-04-14,"H.No. 33, Gala Road, Jaunpur-375635",female,65018,Dani Nagar,Sem Ganj,residential,rent house,36,275415
Wriddhish Suri,9100362779,nbassi@example.net,1926-07-11,"73/554, Badal, Vasai-Virar-037447",male,99811,Jaggi Path,Din Chowk,industrial,,20,572529
Daksha Pandit,6785882428,bbail@example.org,1973-04-04,"19/09, Bandi Street, Hindupur 776248",female,19227,Dhillon Circle,Garde Street,residential,rent house,25,905693
Qasim Agate,4125127273,raaginidyal@example.com,1910-03-04,"391, Kant, Durg-551072",female,31821,Thakkar Zila,Chauhan Marg,industrial,,43,069860
Vincent Barman,5900201735,valapranit@example.org,1927-12-13,"118, Radhakrishnan Chowk, Maheshtala 185274",male,42879,Comar Road,Subramanian Zila,industrial,,10,935686
Ekaja Thaman,0355808557,gchakraborty@example.com,1938-01-31,"902, Garg Circle, Jorhat-473967",female,82385,Dugar Zila,Yadav Path,commercial,restaurant,17,786930
Advik Ganesan,2689910699,sameshsant@example.org,1980-05-06,"H.No. 481, Wable Nagar, Asansol-845847",male,87435,Borra Chowk,Jha Street,commercial,school,21,597608
Abhiram Rama,7330237043,sameshnaik@example.org,1977-07-01,"29, Kumer, Bettiah 971812",female,53280,Nadig Street,Seth Path,industrial,,26,385039
Ranveer Memon,1598408094,hpillay@example.net,1978-07-14,"10/99, Bhattacharyya Road, Kakinada-779780",male,41086,Mital Nagar,Savant Ganj,commercial,school,13,461127
Jeet Maharaj,0963710817,vdutt@example.com,1941-07-18,"40, Balakrishnan Chowk, Latur-551834",male,66126,Pau Ganj,Deep Street,industrial,,3,101148
Geetika Narayan,9220633316,gpadmanabhan@example.com,1951-08-07,"H.No. 239, Nigam Zila, Mira-Bhayandar 166079",female,10237,Palan Zila,Borah Ganj,industrial,,18,850139
Devika Handa,3963001935,yashbhattacharyya@example.org,1937-12-05,"H.No. 955, Kale Ganj, Jorhat 064772",male,54583,Vala Road,Goda Marg,industrial,,36,253512
Oviya Misra,4480720359,hemangvaidya@example.net,1956-10-02,"866, Barad Road, Latur 012676",male,70989,Seth Chowk,Randhawa Circle,commercial,wedding hall,28,376528
Charan Behl,4229628485,vanshashenoy@example.com,1998-10-03,"999, Narang Nagar, Hazaribagh-519411",male,94263,Chokshi Nagar,Narula Circle,commercial,restaurant,38,247959
